 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.515786271031614     ,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.343451209373083     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =  -0.515786271031614     
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.5403774379108086E-01  -0.1135895752026997-115  -0.1168857640358097E+01           200            22  -0.27630977E+03
 -0.5349736635317005E-01   0.1280282341485970E-11  -0.1171856246233715E+01           200            22  -0.36761410E+02
 -0.5296239268963835E-01  -0.1229244783979345-115  -0.1174850180802229E+01           200            22  -0.27631103E+03
 -0.5243276876274196E-01   0.1277130742440139-115  -0.1177839460141155E+01           200            22  -0.27631284E+03
 -0.5190844107511455E-01   0.1326637994691729-115  -0.1180824100286077E+01           200            22  -0.27631479E+03
 -0.5138935666436340E-01  -0.1383209757941437-115  -0.1183804117146743E+01           200            22  -0.27631295E+03
 -0.5087546309771977E-01   0.1435668189082696-115  -0.1186779526609627E+01           200            22  -0.27631558E+03
 -0.5036670846674256E-01  -0.2222831535246358E-11  -0.1189750344446806E+01           200            22  -0.36449390E+02
 -0.4986304138207514E-01   0.1056646783133228E-11  -0.1192716586416420E+01           200            22  -0.37232823E+02
 -0.4936441096825439E-01  -0.1616732479364660-115  -0.1195678268078540E+01           200            22  -0.27631606E+03
 -0.4887076685857185E-01  -0.1679930132173612-115  -0.1198635405068847E+01           200            22  -0.27631736E+03
 -0.4838205918998613E-01  -0.2912937701847928E-11  -0.1201588012853625E+01           200            23  -0.36368083E+02
 -0.4789823859808627E-01  -0.9218995833533481E-12  -0.1204536106834097E+01           200            23  -0.37558977E+02
 -0.4741925621210541E-01  -0.1968726927560476-115  -0.1207479702363343E+01           200            23  -0.27630948E+03
 -0.4694506364998435E-01  -0.2050283676332179-115  -0.1210418814742007E+01           200            23  -0.27630919E+03
 -0.4647561301348451E-01   0.2130671273069223-115  -0.1213353459119909E+01           200            23  -0.27631097E+03
 -0.4601085688334967E-01   0.1470131643965206E-12  -0.1216283650665793E+01           200            23  -0.36045806E+02
 -0.4555074831451617E-01  -0.2239208171237198E-11  -0.1219209404417788E+01           200            23  -0.36872765E+02
 -0.4509524083137101E-01   0.3764167496579581E-12  -0.1222130735353427E+01           200            23  -0.34660668E+02
 -0.4464428842305729E-01   0.8235993103982758E-12  -0.1225047658438286E+01           200            23  -0.37953064E+02
