 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.3948142286409245E+01   0.1597214086757068E-16   0.9479641394684162E+00           200             3  -0.34288426E+02
 -0.3987623709273338E+01   0.4417992485284395E-18   0.9565694186583307E+00           200             3  -0.35546497E+02
 -0.4027499946366071E+01  -0.7125196312363646E-24   0.9652061296779136E+00           200             3  -0.35543521E+02
 -0.4067774945829732E+01  -0.2114653928940254E-18   0.9738744394492131E+00           200             3  -0.36233530E+02
 -0.4108452695288030E+01  -0.1166365991728886E-17   0.9825745158344423E+00           200             3  -0.34844096E+02
 -0.4149537222240910E+01   0.2633254253733260E-18   0.9913065276407704E+00           200             3  -0.36227339E+02
 -0.4191032594463318E+01   0.4695659656302037E-18   0.1000070644625135E+01           200             3  -0.35531132E+02
 -0.4232942920407952E+01  -0.1546795346831472E-17   0.1008867037499068E+01           200             3  -0.34834729E+02
 -0.4275272349612032E+01  -0.7474598812879888E-16   0.1017695877933543E+01           200             3  -0.34729702E+02
 -0.4318025073108152E+01  -0.3053020548510580-307   0.1026557338563837E+01           200             3  -0.70570143E+03
 -0.4361205323839234E+01   0.7742517995090120E-23   0.1035451592994411E+01           200             3  -0.33814078E+02
 -0.4404817377077626E+01   0.3079028490635032E-17   0.1044378815803811E+01           200             3  -0.34011421E+02
 -0.4448865550848403E+01  -0.1862570165159343E-17   0.1053339182549579E+01           200             3  -0.34413798E+02
 -0.4493354206356887E+01   0.1517581958072320E-17   0.1062332869773194E+01           200             3  -0.34816043E+02
 -0.4538287748420456E+01  -0.1391976690160770E-17   0.1071360055005020E+01           200             3  -0.34589884E+02
 -0.4583670625904660E+01  -0.1174311972947734E-18   0.1080420916769274E+01           200             3  -0.35503169E+02
 -0.4629507332163707E+01  -0.5878535681835476E-16   0.1089515634589019E+01           200             3  -0.34644714E+02
 -0.4675802405485344E+01   0.1452386687395579E-17   0.1098644388991166E+01           200             3  -0.34580416E+02
 -0.4722560429540198E+01   0.4197458536629080E-17   0.1107807361511497E+01           200             3  -0.33788674E+02
