 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.2897872495704352E-01   0.1668387677172742E-10  -0.1346506212812415E+01           200            26  -0.36743380E+02
 -0.2927143935054901E-01  -0.1345569220774349E-11  -0.1343765657956195E+01           200            25  -0.39194439E+02
 -0.2956711045510001E-01  -0.1335430675466605E-11  -0.1341021275352520E+01           200            25  -0.39162509E+02
 -0.2986576813646466E-01  -0.1631836905163413E-11  -0.1338273052335218E+01           200            25  -0.38922514E+02
 -0.3016744256208552E-01   0.5145915398190952E-11  -0.1335520976941050E+01           200            25  -0.37734426E+02
 -0.3047216420412678E-01   0.6590920038809458E-12  -0.1332765036866564E+01           200            25  -0.39749880E+02
 -0.3077996384255231E-01   0.1155699011483497-114  -0.1330005219517401E+01           200            25  -0.27631486E+03
 -0.3109087256823465E-01  -0.5649205243261599E-11  -0.1327241512557150E+01           200            25  -0.37522042E+02
 -0.3140492178609561E-01  -0.9546707963035840E-13  -0.1324473903405790E+01           200            25  -0.35354587E+02
 -0.3172214321827839E-01  -0.1849206584441761E-12  -0.1321702379528399E+01           200            25  -0.40861754E+02
 -0.3204256890735191E-01   0.8819490030179851E-11  -0.1318926928324347E+01           200            25  -0.36957070E+02
 -0.3236623121954738E-01  -0.1333457715956465E-10  -0.1316147537123117E+01           200            25  -0.36503732E+02
 -0.3269316284802766E-01   0.9151833906164753-115  -0.1313364193159294E+01           200            25  -0.27630900E+03
 -0.3302339681618956E-01  -0.8784889520635950-115  -0.1310576883612299E+01           200            25  -0.27630987E+03
 -0.3335696648099955E-01  -0.9830891464073760E-11  -0.1307785595599516E+01           200            25  -0.36688432E+02
 -0.3369390553636319E-01   0.4887756710837435E-12  -0.1304990316378167E+01           200            25  -0.39649668E+02
 -0.3403424801652847E-01   0.1722661482240872E-11  -0.1302191032789769E+01           200            25  -0.38349748E+02
 -0.3437802829952371E-01   0.4782401095876841E-11  -0.1299387731831388E+01           200            25  -0.35340756E+02
 -0.3472528111063001E-01  -0.7199701499672070-115  -0.1296580400479526E+01           200            25  -0.27630788E+03
 -0.3507604152588890E-01   0.2065679571299707E-11  -0.1293769025522193E+01           200            24  -0.38020370E+02
 -0.3543034497564535E-01  -0.6431588092388982-115  -0.1290953593760519E+01           200            24  -0.27631386E+03
 -0.3578822724812662E-01  -0.6733805269240904E-15  -0.1288134091898459E+01           200            24  -0.35356441E+02
 -0.3614972449305719E-01  -0.5930652319676949-115  -0.1285310506665647E+01           200            24  -0.27631560E+03
